1 16 285 0.000280 1016476.734694
2 16 285 0.003656 77950.873166
4 16 285 0.007084 40232.116317
8 16 285 0.014537 19604.694460
16 16 285 0.028060 10156.907835
32 16 285 0.041186 6919.811285
1 32 926 0.001636 566169.898542
2 32 926 0.012510 74020.420880
4 32 926 0.018469 50138.457916
8 32 926 0.032584 28419.105732
16 32 926 0.077716 11915.161149
32 32 926 0.106647 8682.830299
1 64 3001 0.016848 178126.150572
2 64 3001 0.053457 56138.806248
4 64 3001 0.070006 42867.819280
8 64 3001 0.118429 25340.037815
16 64 3001 0.246423 12178.257832
32 64 3001 0.301204 9963.340334
1 128 9484 0.232823 40734.742063
2 128 9484 0.378479 25058.208980
4 128 9484 0.417387 22722.291227
8 128 9484 0.639915 14820.707577
16 128 9484 1.002487 9460.474583
32 128 9484 1.199585 7906.067772
1 256 28370 2.945354 9632.120533
2 256 28370 3.388558 8372.293095
4 256 28370 3.838753 7390.419906
8 256 28370 4.296908 6602.421439
16 256 28370 5.374546 5278.585809
32 256 28370 5.926936 4786.621500
